Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka,Konatel
Catering dodavatel,MENju s.r.o.,53455339,Karpatske nam. 10A,Bratislava-Raca,Bratislava III,"trzby 169 tis EUR (2025), 3-4 zam",+421 908 368 968,event@menju.sk,menju.sk,Z2,rozvoz do officu + teambuilding; prevadzka Tomasikova 17,Ing. Tomáš Janvars
Catering dodavatel,TOMIR s.r.o. (MacoMenu),47981300,Bojnicka 10,Bratislava-Nove Mesto,Bratislava III,"trzby 652 tis EUR (2024), 5-9 zam",0948 083 707,mirka.habudova@gurmanservis.sk,macomenu.sk,Z2,"denny rozvoz obedov od 7,50 EUR, dovoz zdarma, min 2 ks","Miroslava Habudová, Milan Habuda"
Catering dodavatel,Manna Factory s.r.o.,52941051,Latoricka 4,Bratislava-Podunajske Biskupice,Bratislava II,"trzby ~1,0 mil EUR (2025), 25-49 zam",0902 985 500,office@mannacatering.sk,mannacatering.sk,Z5,"SILNY CIEL; korporatne eventy (Accenture, IBM, Microsoft)",Szilárd Cséfalvay
Catering dodavatel,CATERINGOVE SLUZBY s.r.o. (123Catering),44745982,Cernysevskeho 10,Bratislava-Petrzalka,Bratislava V,"trzby 1,3 mil EUR (2025), 5-9 zam",421940637990,info@123catering.sk,123catering.sk,Z3,event catering; kontakt cez web/ORSR,"Ing. Monika Dubjelová, Ing. Jozef Dubjel, Roman Střítecký"
Catering dodavatel,Smart Business Solutions s.r.o. (AMIS Group),47111925,Laliova 2792/28,Bratislava-Ruzinov,Bratislava II,"trzby 1,43 mil EUR (2024), 10-19 zam",+421 910 259 945,manager@amisgroup.sk,amisgroup.sk,Z2,zavodne stravovanie + sala Senec 250 os,Mgr. Peter Illy
Catering dodavatel,Soupa s.r.o.,43814336,Kozia 11,Bratislava-Stare Mesto,Bratislava I,"trzby 1,53 mil EUR (2024), 10-19 zam",0948 611 544,info@soupa.sk,soupa.sk,Z1,"bufety, ranajky, priestor Kulturama do 200 os",Slavko Felix
Catering dodavatel,ROXY CATERING s.r.o.,36701661,Bajkalska 29/E,Bratislava-Ruzinov,Bratislava II,"trzby 3,12 mil EUR (2024), 25-49 zam",+421 903 456 662,roxy@roxycatering.sk,roxycatering.sk,Z2,"recepcie, vecierky, plesy","Ján Benetin, Peter Ondruššek"
Catering dodavatel,PAPA GRILL s.r.o. (+ Royal Catering),45689679,Priemyselna 5863,Malacky,Malacky,"trzby 4,85 mil EUR (2025), 25-49 zam",+421 910 333 511,info@papagrill.sk,papagrill.sk,Z6,"SILNY CIEL; kontraktove firemne jedalne, kuchyna 600 m2; event +421 911 580 480","Adam Pernecký, Adrián Pernecký"
Catering dodavatel,CITY GASTRO a.s.,46323279,Sliacska 3269/1E,Bratislava-Nove Mesto,Bratislava III,"trzby 8,33 mil EUR (2024), 100-149 zam",+421 948 929 323,sekretariat@citygastro.sk,citygastro.sk,Z2,"zavodne stravovanie + catering, ISO 9001/22000; prevadzkuje jedalen EUBA","Ing. Marian Lalik, Silvia Zaičková, Ing. Martin Borguľa, Ing. Michal Borguľa"
Catering dodavatel,ALDENTE s.r.o. (Bencik Culinary Group),35882841,Hviezdoslavovo nam. 20,Bratislava-Stare Mesto,Bratislava I,"trzby 8,52 mil EUR (2024), 150-199 zam",,info@bencikculinary.sk,bencikculinary.sk,Z1,"premiove jedalne v BC (Obederia, La Cantina)",Pavol Benčík
