Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka,Konatel
Catering dodavatel,"Stravovanie KOZAK, s. r. o.",57362777,Pieninska 6433/25,Banska Bystrica,Banska Bystrica,zavodne stravovanie + rozvoz teplych jedal firmy/organizacie BB,048/4145205,,stravovaniekozak.sk,B1,"catering + rozvoz, kuchyna na 9. maja 74 (Uhlisko); povodne SZCO M. Kozak ICO 41678575",Michal Kožák
Catering dodavatel,Klobaskaren (Michal Mraz),doplnit ORSR,"Piest 2, c. 78",Detva,Detva,SZCO; masovyroba + catering firemne/rodinne oslavy/svadby; posobnost Zvolen + Detva,0908 245 708,info@klobaskaren.sk,klobaskaren.sk,B4,catering + vlastna masova vyroba (vyssi objem surovin); majitel Michal Mraz; ICO SZCO doplnit ORSR,
Catering dodavatel,IK CATERING s.r.o.,36768332,Cukrovarska 145/51,Rimavska Sobota,Rimavska Sobota,"catering od 1996; studena kuchyna, party servis, oblozene misy",,,ikcatering.sk,B7,najvacsi etablovany catering okresu RS (od 1996); studena/teply catering + party; objem surovin stredny az vyssi,"Igor Klinčák, Xénia Klinčáková"
Vyvaren / catering kuchyna,TRADIMEX spol. s r.o.,30223601,Zvolenska cesta 27,Banska Bystrica,Banska Bystrica,"trzby 2,50 mil EUR (2025), 25-49 zam; zavodne stravovanie + ubytovanie",,,tradimex.sk,B1,"SILNY CIEL; zavodne stravovanie, 6 jedal denne, cena MJ 5,75 EUR bez DPH; Motel Madona","Karol Boháč, Elena Kálusová"
Vyvaren / catering kuchyna,Zavodna kuchyna Kabina,doplnit ORSR,Bystricka 4,Zarnovica,Zarnovica,jedalen 60 miest + banketovy priestor 20; rozvoz jedal firmam 19+ rokov,045/681 39 53,,,B3,"vyvaren + rozvoz do firiem/obchodov v okrese Zarnovica + catering (pecenie prasiat, slavnostne jedla); ICO/prevadzkovatel doplnit ORSR",
Tackaren / zavodna jedalen,Fakultna nemocnica s poliklinikou F. D. Roosevelta Banska Bystrica,00165549,Namestie Ludvika Svobodu 3865/1,Banska Bystrica,Banska Bystrica,"trzby 178,9 mil EUR (2025), 2000-2999 zam, vlastna kuchyna",048/4411111,sekretariatgr@nspbb.sk,fnspfdr.sk,B1,"SILNY CIEL; najvacsia nemocnica regiona, vlastna kuchyna pacienti + personal, verejny obstaravatel",
Tackaren / zavodna jedalen,"Stredoslovensky ustav srdcovych a cievnych chorob, a.s.",36644331,Cesta k nemocnici 1,Banska Bystrica,Banska Bystrica,"500-999 zam; specializovane kardiocentrum, vlastna lozkova prevadzka",048/4333411,,suscch.eu,B1,"SILNY CIEL; specializovany ustav, stravovanie pacienti + personal","Juraj Frajt, Adrian Bystriansky, Martina Soláriková"
Tackaren / zavodna jedalen,Detska fakultna nemocnica s poliklinikou Banska Bystrica,37957937,Namestie Ludvika Svobodu 4,Banska Bystrica,Banska Bystrica,500-999 zam; detska nemocnica najvyssej urovne na Slovensku,048/4726111,,detskanemocnica.sk,B1,"SILNY CIEL; nemocnicna kuchyna detski pacienti + personal, verejny obstaravatel",
Tackaren / zavodna jedalen,"SHP Harmanec, a.s.",00153052,Harmanec 3,Harmanec,Banska Bystrica,"trzby 115,9 mil EUR (2024), 250-499 zam (~546); papieren",048/4372111,,shpgroup.eu,B1,"SILNY CIEL; najvacsi priemyselny zamestnavatel okresu, zavodna jedalen","Martin Harbáč, Stevan Lomic, Bernhard Peschek, Milan Fiľo"
Tackaren / zavodna jedalen,Evonik Fermas s.r.o.,31578896,Slovenska Lupca 938,Slovenska Lupca,Banska Bystrica,"trzby 63,4 mil EUR (2025), 250-499 zam; biotech zavod",048/4307111,,fermas.sk,B1,"SILNY CIEL; chemicko-biotech vyroba (aminokyseliny/biosurfaktanty), zavodne stravovanie","Miroslav Havlík, Miroslava Čikošová, Radoslava Pavlíková, Miroslav Zajac"
