Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka
"Statne firmy a urady","Kosicky samospravny kraj","35541016","Namestie Maratonu mieru 1","Kosice-Stare Mesto","Kosice I","250-499 zam uradu; zriadovatel ~25 SS a 13 socialnych zariadeni s kuchynami","055/7268111","vuc@vucke.sk","vucke.sk","KE1","SILNY CIEL; VUC zriadovatel desiatok skolskych a socialnych jedalni v celom kraji, VO stravy"
"Statne firmy a urady","Mesto Kosice - Magistrat","00691135","Trieda SNP 48/A","Kosice-Zapad","Kosice II","stovky zamestnancov magistratu; zriadovatel MS/ZS so skolskymi jedalnami","055/6419111","magistrat@kosice.sk","kosice.sk","KE1","Najvacsie mesto vychodu, zriadovatel desiatok skolskych jedalni, VO stravovania"
"Statne firmy a urady","Univerzita Pavla Jozefa Safarika v Kosiciach","00397768","Srobarova 2","Kosice-Stare Mesto","Kosice I","tisice studentov; rektorat + ucelove zariadenie studentske domovy a jedalen","055/2341100","rektor@upjs.sk","upjs.sk","KE1","SILNY CIEL; velka kosicka univerzita, SD a jedalne pre studentov"
"Statne firmy a urady","Technicka univerzita v Kosiciach","00397610","Letna 1/9","Kosice-Sever","Kosice I","tisice studentov; siet jedalni TUKE + studentske domovy (Jedlikova 9 kapacita 1316 lozok)","055/6022151","jedalne@tuke.sk","tuke.sk","KE1","SILNY CIEL; najvacsia VS vychodu, vlastne jedalne a studentske domovy s kuchynami"
"Statne firmy a urady","Univerzitna nemocnica L. Pasteura Kosice","00606707","Rastislavova 785/43","Kosice-Juh","Kosice IV","3000+ zamestnancov; velka centralna nemocnicna kuchyna (Rastislavova, Tr. SNP, Murgasova)","055/6153035","","unlp.sk","KE1","SILNY CIEL; najvacsia nemocnica vychodu, denne tisice stravnikov pacienti+personal, vlastna kuchyna"
"Statne firmy a urady","Ustav na vykon trestu odnatia slobody Kosice-Saca (ZVJS)","00738395","Budovatelska 1","Kosice-Saca","Kosice II","kapacita 809 miest + personal; vlastna vazenska kuchyna","055/2832111","podatelna.sa@zvjs.sk","zvjs.sk","KE1","SILNY CIEL; vazenska kuchyna variaca denne pre stovky odsudenych a personal"
"Statne firmy a urady","Ustav na vykon vazby a Ustav na vykon trestu Kosice (ZVJS)","00738387","Florianska 18","Kosice-Stare Mesto","Kosice I","stovky obvinenych/odsudenych + personal; vlastna kuchyna","055/2831111","ustavke@zvjs.sk","zvjs.sk","KE1","SILNY CIEL; centralna vazba v meste, denna varba pre uvaznenych aj personal"
"Statne firmy a urady","Okresny urad Kosice","00151866","Komenskeho 52","Kosice-Sever","Kosice I","stovky zamestnancov v klientskom centre a odboroch","055/6001201","","minv.sk","KE1","velky statny zamestnavatel v sidle kraja (pod MV SR), klientske centrum"
"Statne firmy a urady","Krajske riaditelstvo Policajneho zboru v Kosiciach","00151866","Kuzmanyho 8","Kosice-Stare Mesto","Kosice I","stovky prislusnikov a zamestnancov; sluzobne stravovanie","055/6181111","","minv.sk","KE1","velky zamestnavatel (pod MV SR ICO 00151866), policajne sluzobne stravovanie, VO"
"Statne firmy a urady","Mesto Michalovce (Mestsky urad)","00325490","Namestie osloboditelov 30","Michalovce","Michalovce","stovky zamestnancov; zriadovatel MS/ZS so skolskymi jedalnami","056/6864210","msumi@msumi.sk","michalovce.sk","KE2","okresne mesto, zriadovatel skolskych jedalni, VO stravovania pre samospravu"
"Statne firmy a urady","Mesto Spisska Nova Ves (Mestsky urad)","00329614","Radnicne namestie 7","Spisska Nova Ves","Spisska Nova Ves","stovky zamestnancov; zriadovatel MS/ZS so skolskymi jedalnami","053/4176610","","spisskanovaves.eu","KE3","okresne mesto, zriadovatel skolskych jedalni, VO stravy"
"Statne firmy a urady","Mesto Trebisov (Mestsky urad)","00331996","M. R. Stefanika 862/204","Trebisov","Trebisov","stovky zamestnancov; zriadovatel MS/ZS so skolskymi jedalnami","056/6722665","","trebisov.sk","KE2","okresne mesto, zriadovatel skolskych jedalni, VO stravy"
"Statne firmy a urady","LUMEN - Specializovane zariadenie a DSS Trebisov","00035777","Jilemnickeho 1707/1","Trebisov","Trebisov","117 zamestnancov + stovky klientov; vlastna kuchyna","056/6724049","","lumentv.sk","KE2","SILNY CIEL; rozpoctova organizacia KSK, vlastna kuchyna pre seniorov/klientov + personal"
