Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka,Konatel
Tackaren / zavodna jedalen,Jaguar Land Rover Slovakia s.r.o.,48302392,Horne luky 4540/1,Nitra,Nitra,"trzby 362,8 mil EUR (2024), 4000-4999 zam",0800 500 047,hrdirectsk@jaguarlandrover.com,jaguarlandrover.com,,"SILNY CIEL; najvacsi zamestnavatel okresu, automobilka, tisice obedov denne v zavodnom stravovani","Russell Leslie, Neil Marsons, Christopher Tye"
Tackaren / zavodna jedalen,"Foxconn Slovakia, spol. s r.o.",35683724,Dolne Hony 29,Nitra,Nitra,"trzby 558,7 mil EUR (2024), 500-999 zam",037 6944111,informacie@foxconn.com,foxconn.sk,,"SILNY CIEL; velka elektrovyroba v parku Nitra-Sever, smenova prevadzka so zavodnym stravovanim","Peter Hrčka, Han-Min Yen, Michal Valkovič, Chung-Cheng Lin"
Tackaren / zavodna jedalen,Fakultna nemocnica Nitra,17336007,Spitalska 588/6,Nitra,Nitra,"vynosy 109,9 mil EUR (2025), 1000-1999 zam, ~1200 lozok",037 6545111,info@fnnitra.sk,fnnitra.sk,,"SILNY CIEL; prispevkova org. s vlastnou kuchynou, denne stravovanie pacientov + personalu, najvacsi gastro objem v okrese",
Tackaren / zavodna jedalen,Miba Steeltec s.r.o.,36565911,Hlavna 48,Vrable,Nitra,"trzby 103 mil EUR (2025), 500-999 zam",037 230 15 75,,miba.com,,"SILNY CIEL; strojarsky zavod (ocelove diely), smenova prevadzka, vlastne stravovanie","Patrik Rác, Martin Reich, Eva Gajdošová, Michael Hummelbrunner"
Tackaren / zavodna jedalen,Bourbon Automotive Plastics Nitra s.r.o.,35882409,Cab 280,Cab,Nitra,"trzby 96,6 mil EUR (2025), 500-999 zam",037 7921111,sekretariat@plastivaloire.com,groupe-plastivaloire.com,,"SILNY CIEL; automotive plasty, ~500 zam v zmenovej prevadzke, zavodne stravovanie","Antoine Doutriaux, Yves Neuville"
Tackaren / zavodna jedalen,SMRC Automotive Solutions Slovakia s.r.o.,36861162,Dolne Hony 2,Nitra,Nitra,"trzby 93,9 mil EUR (2024), 250-499 zam",,,smrc-automotive.com,,"automotive interiery v parku Nitra-Sever, dodavatel JLR, stredny objem stravovania","Andreas Heuser, Christophe Ancey"
Tackaren / zavodna jedalen,"G-TEKT Slovakia, s.r.o.",51087618,Na Pasienkoch 9,Nitra,Nitra,"trzby 64 mil EUR (2024), 250-499 zam",,,,,"automotive karoserne diely, zavod v Nitre, smenova prevadzka","Nicholas Thomas, Yoshiyuki Kassai, Yoshitaka Suzuki, Hajime Kanai"
Tackaren / zavodna jedalen,Slovenska polnohospodarska univerzita v Nitre - Studentske domovy a jedalne,00397482,Sturova 3,Nitra,Nitra,"vynosy 46,84 mil EUR (2025), 500-999 zam, vlastna menza",037 6415701,rsdjspu@uniag.sk,uniag.sk,,"SILNY CIEL; vlastne riaditelstvo studentskych jedalni (menza vo vlastnej rezii), priamy kontakt na stravovaci uzol",
Tackaren / zavodna jedalen,Univerzita Konstantina Filozofa v Nitre - Univerzitna jedalen,00157716,Nabrezie mladeze 1,Nitra,Nitra,"vynosy 41,97 mil EUR (2025), 500-999 zam",037 6408111,,ukf.sk,,"stravovanie outsourcovane (Gastromir, kuchyna SD Brezovy haj); UKF = vlastnik priestoru/odberatel",
Catering dodavatel,"agrokomplex NARODNE VYSTAVISKO, statny podnik",36855642,Vystavna 4,Nitra,Nitra,"trzby 8,29 mil EUR (2025), 50-99 zam",037 6572111,agrokomplex@agrokomplex.sk,agrokomplex.sk,,"SILNY CIEL; statne vystavisko, vlastny catering pre vystavy/koncerty/konferencie/svadby, sezonne velkokapacitne eventy",Jozef Pavle
Catering dodavatel,"Golden Catering (esca, s.r.o.)",46482253,Stracia 23,Nitra,Nitra,"trzby 0,24 mil EUR (2024)",0950 777 765,info@goldencatering.sk,goldencatering.sk,,"20 rokov na trhu, svadby/firemne/VIP catering, prenajom vybavenia; etablovany event dodavatel",Andrej Jokai
Catering dodavatel,Catering Servis Nitra s. r. o.,52748561,Dumbierska 700/45,Nitra,Nitra,"trzby 0,05 mil EUR (2025)",,info@cateringnr.sk,cateringnr.sk,,"mensi event/svadobny catering, prevadzkuje aj eventove priestory; doplnkovy ciel",
Vyvaren / catering kuchyna,"MS Gastro, s.r.o.",36359891,Velky Lapas 351,Velky Lapas,Nitra,"trzby 0,78 mil EUR (2025), 5-9 zam",0904 878 707,msgastro@msgastro.sk,msgastro.sk,,"SILNY CIEL; zavodne/firemne stravovanie pre vyrobne firmy v regione, vlastna jedalen + donaska, stabilny velkoodber",Marek Stanek
Vyvaren / catering kuchyna,GastroIng (Dagmar Hascakova),doplnit ORSR,Priemyselna 5,Nitra,Nitra,"6 hlavnych jedal + polievka denne, zavodna jedalen + rozvoz po Nitre",037 6574048,,gastroing.sk,,"zavodne stravovanie a rozvoz obedov; zivnost, ICO neoverene na FinStat",
Velka restauracia / banketova sala,"Hotel Zlaty Klucik (Golden Key Services, s.r.o.)",56031173,Svaturbanska 103/29,Nitra,Nitra,"sala do 150 hosti + 2 restauracie + svadobny pavilon, 41 izieb, 4* superior",037 6550289,recepcia@zlatyklucik.sk,zlatyklucik.sk,,"SILNY CIEL; svadobna sala 150 miest, kongresy a eventy, pravidelne velke akcie",Kristína Andraško
Restauracna siet (3+ prevadzok),Tantal (Tantal expres 1 s. r. o.),47164948,Plynarenska 5,Nitra,Nitra,"4 prevadzky v Nitre (OC Galeria, OC Centro, Kaufland Klokocina + Expres)",0915 979 065,tantal@tantal.sk,tantal.sk,,"talianska kuchyna, 4 prevadzky od 2008, centralny dodavatel surovin",Andrej Martinec
Tackaren / zavodna jedalen,Nemocnica AGEL Zlate Moravce a.s.,50433946,Bernolakova 4,Zlate Moravce,Zlate Moravce,"trzby 7,63 mil EUR (2025), 150-199 zam, 70 lozok",037 6402111,nemocnicazm@agel.sk,nemocnicazlatemoravce.agel.sk,,"SILNY CIEL; vlastna nemocnicna kuchyna, denne stravovanie pacientov + personalu, stabilny odber","Miroslav Jaška, Marta Eckhardtová, Michal Pišoja, Michal Zakarovský"
Tackaren / zavodna jedalen,Secop s. r. o.,35800399,Tovarenska 49,Zlate Moravce,Zlate Moravce,"trzby 94,45 mil EUR (2024), 250-499 zam",,,secop.com,,"SILNY CIEL; najvacsi vyrobny zamestnavatel v okrese (kompresory, byv. Nidec/Danfoss), velka zavodna jedalen",Ing. Miroslav Maťašovský
Tackaren / zavodna jedalen,Estamp Slovakia s.r.o.,35950765,Tovarenska 52,Zlate Moravce,Zlate Moravce,"trzby 50,10 mil EUR (2024), 200-249 zam",,,estamp.com,,"SILNY CIEL; automotive dodavatel (vylisky), velky zavod v priem. parku, zavodne stravovanie",
Velka restauracia / banketova sala,"Hotel ViOn (ViOn, a.s.)",36526185,Tovarenska 64,Zlate Moravce,Zlate Moravce,"restauracia 120 miest + kongresova/banketova sala ~130 miest; firma trzby 30,97 mil EUR (2025)",037 6402471,hotel@vion.sk,hotelvion.sk,,"SILNY CIEL; najvacsi hotel+restauracia v meste, svadby/bankety/recepcie, vlastna velka kuchyna","Martin Ondrejka, Juraj Petrovič, Karol Cibira, Ľudmila Šabíková"
Catering dodavatel,GASTRO ABM s. r. o.,56429096,Hlavna 125,Tesarske Mlynany,Zlate Moravce,"catering + zavodne stravovanie, polievka + 4 hl. jedla denne; firma zal. 2024",0907 650 755,gastroabm@gastroabm.sk,gastroabm.sk,,"SILNY CIEL; dodava zavodne stravovanie firmam, velky denny objem jedal v okrese ZM",Miroslava Belenčíková
Velka restauracia / banketova sala,Restauracia RIO (Julia Pivarciova),33334595,Sladkovicova 37,Zlate Moravce,Zlate Moravce,hl. sala 160 miest + terasa 40; zivnostnik,037 6421343,,,,"najvacsia banketova kapacita pre svadby/oslavy v meste (160 miest), sezonny odber pri akciach",
Catering dodavatel,Restauracia Domino (Ondrej Kozuch),41169123,SNP 1306,Sala,Sala,"~85 miest, denny firemny rozvoz obedov + catering + svadobne/smutocne hostiny",0905 835 102,info@restauraciadomino.sk,restauraciadomino.sk,,"catering a pravidelny rozvoz obedov pre firmy, B2B partner pre dodavky surovin",
Tackaren / zavodna jedalen,"Duslo, a.s.",35826487,Administrativna budova ev. c. 1236,Sala,Sala,"trzby 553,7 mil EUR (2024), 1000-1999 zam",031 775 1111,sekretariat@duslo.sk,duslo.sk,,"SILNY CIEL; najvacsi zamestnavatel v okrese (chemicka), velkoobjemova zavodna jedalen, top objem surovin","Ing. Andrej Babiš, Ing. Robert Konopka, JUDr. Vojtech Agner, Ing. Roman Karlubík"
Tackaren / zavodna jedalen,Nemocnica s poliklinikou Sala,00610305,Nemocnicna 1,Sala,Sala,"nemocnica s vlastnou kuchynou, stravovanie pacientov + personalu",031 7730 320,,poliklinikansksala.sk,,"SILNY CIEL; celodenne nemocnicne stravovanie, stabilny velkoodber surovin",
Velka restauracia / banketova sala,Hotel Central (HOTEL CENTRAL ZIBAK COMPANY),32361769,Nam. Sv. Trojice 3,Sala,Sala,"banketova sala 150 miest + mensia 40-50, ubytovanie 80 lozok, svadby/bankety/konferencie",031 770 1141,recepcia@hotelcentral.sk,hotelcentral.sk,,"banketova sala v centre Sale, svadby/firemne akcie - pravidelne velke hostiny",
Velka restauracia / banketova sala,Restaurant Rico (Martina Borikova),41171471,Jarmocna 626/1,Sala,Sala,"hlavna sala 131 miest + terasa 50 + salonik 25 (~206), svadby/firemne akcie",0910 548 517,,restaurantrico.sk,,"velkokapacitna restauracia, svadby a firemne eventy - pravidelny odber surovin",
