"Kategoria","Firma","ICO","Adresa","Mesto_Stvrt","Okres","Velkost_Trzby_Kapacita","Telefon","Email","Web","Zona_trasa","Poznamka"
"Catering dodavatel","MICO s.r.o.","47089768","Chalupkova 341/34","Presov","Presov","obrat 168 tis EUR (2024, trzby), 3-4 zam","0915623432","micocatering@gmail.com","micocatering.sk","PO1","Eventovy + svadobny catering Presov/KE, kapacita svadby do 200 osob"
"Catering dodavatel","Euro Catering Agency s.r.o.","51544440","Maly Saris 576","Maly Saris","Presov","obrat 7,8 tis EUR (2024, trzby), 1 zam","0904777750","1eurocatering@gmail.com","eurocatering.sk","PO1","Maly regionalni catering Presov + okolie, zalozeny 2018"
"Catering dodavatel","Bistro Tatjana - Tatiana Malyszka","51974983","Kukucinova 4245","Poprad","Poprad","zivnostnik od 2019, rozvoz Poprad a okolie","0948308545","info@tatjana.sk","tatjana.sk","PO2","Catering + donaska Poprad; firemne obedy, svadby, teambuildingy; prevadzka Podjavorinskey 3405/22"
"Vyvaren / catering kuchyna","TOP GASTRO, s.r.o.","36480924","Volgogradska 13","Presov","Presov","obrat 480 tis EUR (2025, trzby), 10-19 zam; 2500 jedal/den, 180 zmluv","051/7710429","topgastro@gmail.com","top-gastro.sk","PO1","SILNY CIEL; zavod + seniori + eventy od 2002, sponzorska sala 150 miest, NACE 5621"
"Vyvaren / catering kuchyna","ACEM, s.r.o.","43786774","Solnobanska 11809/5A","Presov","Presov","obrat 2,644 mil EUR (2025, trzby), 25-49 zam; prevadzky Petrovany (Presov) aj Poprad","0918625732","info@acem.sk","acem.sk","PO1","SILNY CIEL; zavodne stravovanie vychod SK od 2007, operuje jedalen Tatravagonka (tatravagonka@acem.sk), prevadzka aj v Poprade; NACE 5621"
"Vyvaren / catering kuchyna","Jozef Mico - TIP-TOP","10737618","Chalupkova 34","Presov","Presov","50-99 zam; 8 predajni (Presov, Poprad, Kosice)","0918857273","tip.top.objednavka@gmail.com","tiptopjedla.sk","PO1","SILNY CIEL; najvacsia regionalna vyvaren PO kraja, rozvoz teplych jedal + maso velkoobchod, zivnostnik od 1992"
"Tackaren / zavodna jedalen","TATRAVAGONKA a.s.","31699847","Stefanikova 887/53","Poprad","Poprad","obrat 595 mil EUR (2024, trzby), 2000-2999 zam","","","tatravagonka.sk","PO2","SILNY CIEL; najvacsi vyrobca zeleznicnych vagonov SR, 2000+ zam, zavodna jedalen pre velku prevadzku"
"Tackaren / zavodna jedalen","Beko Manufacturing Slovakia spol. s r.o. (ex-Whirlpool)","35796570","Hlavna 5039/1A","Poprad","Poprad","obrat 257,9 mil EUR (2024, trzby), 500-999 zam","","","beko.com","PO2","SILNY CIEL; vyrobna prevadzka dom. spotrebicov WhirlpoolBeko 2024, zavodna jedalen pre 500+ zam"
"Tackaren / zavodna jedalen","CHEMES a.s. Humenne","31695426","Chemlonska 1","Humenne","Humenne","obrat 28,58 mil EUR (2023, trzby), v konkurze od 06.2026","","","chemes.sk","PO4","Chemicky zavod v konkurze od 06/2026; overit nastupnicku firmu pred oslovenim"
"Tackaren / zavodna jedalen","BUKOZA Export-Import a.s.","36445266","Hencovska 2073","Hencovce","Vranov nad Toplou","obrat 88,87 mil EUR (2023, trzby), v konkurze od 05.2026","","","bukoza.sk","PO4","Papierenska skupina v konkurze od 05/2026; overit noveho prevadzkovatela priemyselneho parku Hencovce pred oslovenim"
"Tackaren / zavodna jedalen","Fakultna nemocnica s poliklinikou J. A. Reimana Presov","00610577","Jana Holleho 14","Presov","Presov","obrat 158,1 mil EUR (2025, trzby), 3000-3999 zam","051/3441111","","fnspresov.sk","PO1","SILNY CIEL; uz v Statne firmy a urady; najvacsia nemocnica PO kraja, tackaren stravuje tisicky pacientov + personal denne"
"Tackaren / zavodna jedalen","Nemocnica Poprad a.s.","36513458","Banicka 803/28","Poprad","Poprad","obrat 72,56 mil EUR (2024, trzby), 1000-1999 zam","052/7165111","","nemocnicapoprad.sk","PO2","SILNY CIEL; hlavna nemocnica Poprad, akutna starostlivost, tackaren pre 1000+ zam + pacienti"
"Tackaren / zavodna jedalen","Nemocnica AGEL Levoca a.s.","36594849","Probstnerova cesta 2/3082","Levoca","Levoca","obrat 30,12 mil EUR (2025, trzby), 500-999 zam","053/4512511","","nemocnica-levoca.sk","PO2","Byvala Vseobecna nemocnica Levoca, prevzata sietou AGEL; tackaren pre pacientov a personel"
"Tackaren / zavodna jedalen","NsP Sv. Jakuba n.o. Bardejov","36167908","Sv. Jakuba 21","Bardejov","Bardejov","obrat 41,58 mil EUR (2025, trzby), 500-999 zam","054/4862111","","nspbardejov.sk","PO3","Hlavna nemocnica okresu Bardejov, n.o., tackaren pre hospitalizovanych a zamestnancov"
"Tackaren / zavodna jedalen","Nemocnica A. Lena Humenne a.s.","47249048","Nemocnicna 7","Humenne","Humenne","obrat 24,67 mil EUR (2024, trzby), 500-999 zam","057/7786111","","nemocnicahumenne.sk","PO4","Nastupnica po NsP Humenne; tackaren pre pacientov a personel okresu Humenne"
"Tackaren / zavodna jedalen","Vranovska nemocnica a.s.","47249021","M. R. Stefanika 187/177B","Vranov nad Toplou","Vranov nad Toplou","obrat 25,79 mil EUR (2024, trzby), 500-999 zam","057/4461111","","vranovskanemocnica.sk","PO4","Hlavna nemocnica okresu Vranov nad Toplou; tackaren pre hospitalizovanych a personel"
"Tackaren / zavodna jedalen","Lubovnianska nemocnica n.o.","37886851","Obrancov mieru 510/3","Stara Lubovna","Stara Lubovna","obrat 30,3 mil EUR (2025, trzby), 500-999 zam","052/4320111","","lubovnianskanemocnica.sk","PO2","Jedina nemocnica okresu Stara Lubovna, n.o.; tackaren pre pacientov a zamestnancov"
"Tackaren / zavodna jedalen","Nemocnica Dr. Vojtecha Alexandra v Kezmarku n.o.","37886436","Huncovska 1788/42","Kezmarok","Kezmarok","obrat 14,24 mil EUR (2024, trzby), 250-499 zam","052/4501111","","nemocnicakezmarok.sk","PO2","Okresna nemocnica Kezmarok, n.o.; tackaren pre pacientov a zamestnancov"
"Tackaren / zavodna jedalen","Presovska univerzita v Presove","17070775","Ul. 17. novembra 13","Presov","Presov","obrat 48,09 mil EUR (2025, trzby), 1000-1999 zam","051/7570111","","unipo.sk","PO1","SILNY CIEL; uz v Statne firmy a urady; univerzitna menza stravuje tisicky studentov denne"
"Velka restauracia / banketova sala","Tatry mountain resorts, a.s. (Grandhotel Praha)","31560636","Tatranska Lomnica 8","Tatranska Lomnica","Poprad","obrat 144 mil EUR skupiny (2024, trzby), 1000-1999 zam skupiny; 108 izieb + 15 apartmanov, banketova sala 250 osob","052/4780111","hotelreservations@tmr.sk","tmrhotels.com","PO2","SILNY CIEL; historicky hotel 4* (1905) v Tatranskej Lomnici; prevadzkovatel TMR a.s. (ICO zdielane s dalsimi TMR hotelmi)"
"Velka restauracia / banketova sala","Tatry mountain resorts, a.s. (Grandhotel Stary Smokovec)","31560636","Stary Smokovec 38","Stary Smokovec","Poprad","obrat 144 mil EUR skupiny (2024, trzby), 1000-1999 zam skupiny; 70 izieb + 14 apartmanov, 214 luzok, banket 100-150 osob","052/4780000","info@grandhotel.sk","grandhotel.sk","PO2","SILNY CIEL; historicky hotel 4* (1904) Stary Smokovec; prevadzkovatel TMR a.s. (ICO zdielane s dalsimi TMR hotelmi); GPS seedovat geocache"
"Velka restauracia / banketova sala","BHP Tatry, s. r. o. (Grand Hotel Kempinski High Tatras)","45948879","Kupelna 6","Strbske Pleso","Poprad","obrat 13,78 mil EUR (2024, trzby), 100-149 zam; 98 izieb, banket 150-200 osob, jediny 5* hotel PO kraja","052/3262222","","kempinski.com","PO2","SILNY CIEL; jediny 5-hviezdicovy hotel v PO kraji, Strbske Pleso; prevadzkovatel BHP Tatry s.r.o. (sid. BA); vlastnik J&T"
"Velka restauracia / banketova sala","TATRA HOTEL SLOVAKIA, a.s. (Hotel Patria Strbske Pleso)","31638759","K Vodopadom 4033/15","Strbske Pleso","Poprad","obrat 10,98 mil EUR (2025, trzby), 100-149 zam; hotel 4* na brehu Strbskeho plesa, banket 120-150 osob","","","hotelpatria.sk","PO2","SILNY CIEL; hotel priamo pri jazere Strbske Pleso, wellness + banketova sala; NACE 5510"
"Velka restauracia / banketova sala","TMR Strbske Pleso s. r. o. (Hotel FIS)","55737854","K Vodopadom 4028/26","Strbske Pleso","Poprad","obrat 8,46 mil EUR (2024, trzby), 10-19 zam; 80 izieb, konferencna kapacita 100 osob","0915954636","hotelfis@hotelfis.sk","hotelfis.sk","PO2","Lyziarski hotel pri skokanskych mostikoch FIS Strbske Pleso; prevadzkovatel TMR Strbske Pleso s.r.o. (ine ICO ako TMR a.s.)"
"Velka restauracia / banketova sala","AQUAPARK Poprad, s.r.o. (AquaCity Poprad)","36482609","Sportova 1397/1","Poprad","Poprad","obrat 12,97 mil EUR (2024, trzby), 100-149 zam; kongresova sala 350 osob, geotermalna voda","052/7851222","recepcia@aquacity.sk","aquacity.sk","PO2","SILNY CIEL; aquapark + hotel + kongresovy komplex v Poprade; kongresova sala az 350 osob"
"Velka restauracia / banketova sala","SATEL - SLOVAKIA, s.r.o. (Hotel Satel Poprad)","31712797","Mnohelova 825","Poprad","Poprad","obrat 2,795 mil EUR (2024, trzby), 25-49 zam; 250 luzok, 8 konferencnych sali az 300 osob","","","hotelsatel.com","PO2","Najvacsi hotel v meste Poprad (250 luzok); kongresy az 450 osob; NACE 5510"
"Velka restauracia / banketova sala","BARDEJOVSKE KUPELE a. s.","36168301","Kupelny rad 1","Bardejovske Kupele","Bardejov","obrat 19,41 mil EUR (2025, trzby), 250-499 zam; kupelny komplex 4 hotely, banket/kongres 150-200 osob","054/4774000","sekretariat@kupele-bj.sk","kupele-bj.sk","PO3","SILNY CIEL; historicke kupele od 1777 (Bardejovske Kupele), 4 hotely (Astoria, Ozon, Alexander, Alzbeta), 250-499 zam"
"Velka restauracia / banketova sala","KUPELE VYSNE RUZBACHY, a.s.","31714501","Vysne Ruzbachy 48","Vysne Ruzbachy","Kezmarok","obrat 6,83 mil EUR (2024, trzby), 100-149 zam; Grand Hotel Strand 88 luzok + dalsie, banket 100-150 osob","052/4266111","rezervacie@ruzbachy.sk","ruzbachy.sk","PO2","Termalny kupelny komplex Vysne Ruzbachy pod Pieninami; NACE 8699"
"Velka restauracia / banketova sala","LINEAS, s.r.o. (Hotel Lineas Presov)","31692923","Budovatelska 14","Presov","Presov","obrat 1,43 mil EUR (2024, trzby), 25-49 zam; 165 izieb, 340 luzok, kongresova sala az 200 osob","0907801093","akcia@lineas.sk","lineas.sk","PO1","Najvacsi hotel v meste Presov (340 luzok); kongresove kapacity do 200 osob; NACE 5510"
"Velka restauracia / banketova sala","Hotel DUKLA, a.s. Presov","36482293","Namestie legionarov 2","Presov","Presov","obrat 944 tis EUR (2024, trzby), 10-19 zam; 60 izieb, banketova sala 120 osob (divadlo 200 osob)","051/7722741","recepcia@hotelduklapresov.sk","hotelduklapresov.sk","PO1","Hotel v centre Presova, banketova kapacita 120 osob; NACE 5510"
"Restauracna siet (3+ prevadzok)","McDonald's Slovakia spol. s r.o.","31392229","Vihorlatska 13591/2B","Presov","Presov","obrat 52,45 mil EUR (2024, trzby); 3 pobocky v PO kraji (Presov MAX, Presov OC Novum, Poprad)","","","mcdonalds.sk","PO1","SILNY CIEL; 3 pobocky v PO: Presov MAX (Vihorlatska), Presov OC Novum (Nam. legionarov), Poprad (Stefanikova)"
"Restauracna siet (3+ prevadzok)","Queensway Restaurants Slovakia s.r.o. (KFC)","35852143","Vihorlatska 14","Presov","Presov","obrat 20,845 mil EUR (2024, trzby), 250-499 zam celonarodne; 2 pobocky v PO (Presov OC Novum, Poprad OC Forum) + 3. v stavbe 2026-2027","","","kfcslovakia.sk","PO1","KFC SK franchize; 2 prevadzky v PO + 3. Presov-Solivar v stavbe (2026-2027); zaradit ako perspektivnu siet s prisucom v PO"
"Statne firmy a urady","Presovsky samospravny kraj (PSK)","37870475","Namestie mieru 2","Presov","Presov","zriadovatel SS a soc. zariadeni s kuchynami v celom kraji; VO stravy/potravin","051/7081111","info@psk.sk","psk.sk","PO1","SILNY CIEL; VUC zriadovatel skol a soc. sluzieb s vlastnymi kuchynami"
"Statne firmy a urady","Presovska univerzita v Presove","17070775","Ul. 17. novembra 13","Presov","Presov","univerzita 7000+ studentov; vlastne SD a jedalne","051/7722851","","unipo.sk","PO1","SILNY CIEL; univerzitne jedalne a studentske domovy, masova denna strava"
"Statne firmy a urady","Fakultna nemocnica s poliklinikou J. A. Reimana Presov","00610577","Holleho 14","Presov","Presov","velka nemocnica, stovky luzok; vlastna nemocnicna kuchyna, celodenna strava pacienti+personal","051/7011111","","fnsppresov.sk","PO1","SILNY CIEL; velka nemocnicna kuchyna, stabilny odber potravin"
"Statne firmy a urady","Ustav na vykon vazby a Ustav na vykon trestu odnatia slobody Presov (ZVJS)","00738409","Kpt. Nalepku 1","Presov","Presov","vazenska kuchyna, denna strava pre vaznov + personal","","","zvjs.sk","PO1","SILNY CIEL; vazenska kuchyna, garantovany objem, VO potravin"
"Statne firmy a urady","2. mechanizovana brigada Presov (VU 1018, OS SR)","30845572","Mukacevska 22","Presov","Presov","velka vojenska posadka; vojenska jedalen/stravovanie utvaru","","","mosr.sk","PO1","SILNY CIEL; vojensky utvar OS SR pod MO SR, posadkove stravovanie"
