Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka,Konatel
Catering dodavatel,Catering Trencin (Polis),53236807,Mierove namestie 1,Trencin,Trencin,"live-cooking catering do 1000 hosti, firemne aj eventy",0911 554 911,polis.trencin@gmail.com,cateringtrencin.sk,N1,"catering do 1000 osob, firemne stravovanie + rozvoz",Peter Bočík
Catering dodavatel,GASTRO-SYST s.r.o.,36300691,Legionarska 5,Trencin,Trencin,vyroba teplych jedal + zavodne stravovanie pre PO v Trencine a okoli,032/381 15 58,,gastro-syst.sk,N1,"SILNY CIEL; dodavatel stravy pre pravnicke osoby, vlastna vyvarovna",Radek Roth
Catering dodavatel,GASTRO GROUP s.r.o.,36317969,Rybarska 1,Nove Mesto nad Vahom,Nove Mesto nad Vahom,"trzby 1,07 mil EUR (2025), 25-49 zam; catering pre firmy + hostiny/svadby",,,gastrogroup.sk,N8,"jediny dedikovany cateringovy dodavatel v okrese, vlastna vyvarovna + rozvoz","Slávka Snohová, Milan Špánik"
Catering dodavatel,Champion Food s.r.o.,36336882,M. R. Stefanika 175/32,Povazska Bystrica,Povazska Bystrica,"trzby 1,31 mil EUR (2024), 10-19 zam; vyroba peciva/studena kuchyna + catering",,,championfood.sk,N3,vyroba bagiet/salatov/studenej kuchyne + catering,Marek Brojo
Vyvaren / catering kuchyna,HEES - GASTROSLUZBY spol. s r.o.,34131710,Hodzova 37,Trencin,Trencin,"trzby 0,97 mil EUR (2024), 6-25 zam; skolske jedalne + dovoz stravy pre seniorov mesta",,,,N1,"prevadzkuje skolske jedalne + mestsky dovoz stravy, vlastna vyvarovna","Ramzi Hassouna, Lazhar Hassouna, Beáta Hassounová"
Vyvaren / catering kuchyna,GASTRO-SERVICE a.s. (byv. ZTS-SLUZBY),36302694,Tovarenska 1,Dubnica nad Vahom,Ilava,"kapacita ~12000 jedal/den (ZTS areal), priestory 25-300 miest, restauracia Gurman",,,gastroservice.sk,N2,"SILNY CIEL; preberalo zavodne stravovanie celeho ZTS arealu Dubnica, velkokapacitna vyvarovna + catering","Milan Vozár, Jozef Chrenko, Ing. Erika, Andrea Lalinská"
Vyvaren / catering kuchyna,BESPA - STRAV PD s.r.o.,33609438,Kosovska 16,Prievidza,Prievidza,"vyvarovna - zavodne aj verejne stravovanie, viacero prevadzok",,bespastrav@zoznam.sk,bespastrav.sk,N5,"dodavatel teplych obedov pre firmy a verejnost v Prievidzi, rozvoz a vydaj",
Vyvaren / catering kuchyna,Gastro - sluzby s.r.o.,36298531,Robotnicka 2156,Povazska Bystrica,Povazska Bystrica,"trzby 1,42 mil EUR (2024), 25-49 zam; zmluvne stravovanie",042/432 22 59,,gastro-sluzby.sk,N3,SILNY CIEL; profesional na zavodne/skolske stravovanie + catering + rozvoz menu,"Oldřich Vdoleček, Richard Vdoleček"
Vyvaren / catering kuchyna,HARVIS s.r.o.,31410081,Priemyselna 2,Nove Mesto nad Vahom,Nove Mesto nad Vahom,"trzby 0,85 mil EUR (2025), 20-24 zam; denne obedove menu + rozvoz, priemyselna zona",,,menu.harvis.sk,N8,vyvarovna pre priemyselny park NMnV; odber surovin vo vacsom objeme,"Miroslav Hlinka, Štefan Hlinka"
Vyvaren / catering kuchyna,Restauracia Viva (Puchov),doplnit ORSR,doplnit,Puchov,Puchov,rozvoz obedoveho menu firmam v Puchove a okoli,0911 394 971,,restauraciaviva.sk,N4,dodavatel teplych obedov B2B (rozvoz do firiem) + spolocenske podujatia; ICO doplnit,
