Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka
"Catering dodavatel","Frape catering s.r.o.","44178450","Hudobna 7","Trnava","Trnava","trzby 3,6 mil EUR (2025), 10-19 zam","033/293 33 22","mail@frape-catering.sk","frape-catering.sk","T1","SILNY CIEL; komplexny catering + rozvoz; dodava pre soc. zariadenia TTSK; sidlo Hudobna 9715/7, prevadzka Pekarska 40A, office Jana Holleho 5; konatel D. Schmidt 0903 246 244"
"Catering dodavatel","Catering Majernik s.r.o.","50803549","Slnecna 6","Vrbove","Piestany","trzby 2-3 mil EUR (2025), 20-24 zam","","","","T3","SILNY CIEL; rodinny catering 20+ rokov, zavodne stravovanie Vrbove/Piestany/Trnava"
"Catering dodavatel","La Cantine (cantineparty)","doplnit ORSR","doplnit","Trnava","Trnava","catering oblozene/party misy, firemne aj sukromne akcie","","","cantineparty.sk","T1","cateringova firma Trnava; ICO + adresa doplnit ORSR"
"Catering dodavatel","Catering Relax Trnava","doplnit ORSR","Piestanska 3","Trnava","Trnava","rozvoz stravy pre firmy, denne menu, catering podujati","","","","T1","over ci nie je prepojeny s TOP-RELAX brand; ICO doplnit"
"Catering dodavatel","SEDA Catering (Katarina Sediva)","54787572","Petrovska 4","Skalica","Skalica","SZCO; catering svadby/firemne, okres Skalica + Senica","","info@sedacatering.sk","sedacatering.sk","T5","mensia kapacita"
"Catering dodavatel","LARK - CATERING s.r.o.","46939342","Pod Hajkom 2","Skalica","Skalica","pekarska/cukrarska vyroba + catering + teple jedla","034 664 5164","sikulova@larksro.sk","larkskalica.sk","T5","SILNY CIEL; catering + vlastna vyroba, vyssi objem surovin"
"Catering dodavatel","Kralovsky Catering","doplnit ORSR","doplnit","Skalica","Skalica","premium catering svadby/firemne od 15 osob","0910 646 604","info@kralovskycatering.sk","kralovskycatering.sk","T5","regionalny hrac Skalica + Senica; ICO doplnit"
"Catering dodavatel","Catering 4 Events","doplnit ORSR","doplnit","Piestany","Piestany","catering festivaly/plesy/svadby + prenajom stanov","","","catering4events.sk","T3","eventovy catering, sezonny vyssi objem"
"Catering dodavatel","Catering Piestany","doplnit ORSR","doplnit","Piestany","Piestany","sala 280 m2, kapacita 150 osob; catering","","","cateringpiestany.sk","T3","vlastny party priestor + catering"
"Vyvaren / catering kuchyna","TOP-RELAX s.r.o.","36836061","Rybnikova 16","Trnava","Trnava","trzby 10,0 mil EUR (2025), 150-199 zam","","","top-relax.sk","T1","SILNY CIEL; zavodne stravovanie, vending, dovoz jedal; prevadzkuje jedalen UCM"
