"Kategoria","Firma","ICO","Adresa","Mesto_Stvrt","Okres","Velkost_Trzby_Kapacita","Telefon","Email","Web","Zona_trasa","Poznamka"
"Catering dodavatel","EL TORO, s.r.o.","36787752","Kamenna 8898/3A","Zilina","Zilina","obrat 1,47 mil EUR (2025, trzby), 25-49 zam; zavodne stravovanie + rozvoz obedov pre firmy + catering, 2 prevadzky v Ziline + Dolny Kubin","+421 911 991 991","objednavky@eltoro.sk","eltoro.sk","ZA1","SILNY CIEL; rozvoz jedal pre firmy a zamestnancov + catering; pobocka v Dolnom Kubine (eltorodk.sk), NACE 5611"
"Catering dodavatel","DUGE CATERING, s. r. o.","45423121","Palenica 752 (prevadzka/kuchyna)","Liptovsky Hradok","Liptovsky Mikulas","obrat 1,71 mil EUR (2024, trzby), 20-24 zam; zavodne stravovanie horny Liptov + catering + jedalen 280 miest + 2 saloniky po 50","+421 911 942 762","dugecatering@gmail.com","dugecatering.sk","ZA3","SILNY CIEL; zavodne stravovanie + rozvoz + bankety/svadby pre horny Liptov; sidlo Janosikova 538 Liptovsky Mikulas, NACE catering"
"Catering dodavatel","GASTRO TURIEC, s.r.o.","47001330","Tomcany (byvale Druzstvo)","Martin","Martin","obrat 0,18 mil EUR (2024, trzby); denne menu s rozvozom 365 dni v roku + svadby/oslavy/kary pre region Turiec","+421 907 834 675","","gastroturiec.sk","ZA2","rozvoz denneho menu + eventovy catering (svadby od 14 EUR/os); prevadzka Martin-Tomcany, na trhu cca 18 rokov"
"Catering dodavatel","BUENO GUSTO s.r.o.","50683462","Rosinska cesta 8 (areal VUVT)","Zilina","Zilina","obrat 0,47 mil EUR (2025, trzby); restauracna kuchyna 170 miest, firemne stravovanie od 10 zam s mesacnou fakturaciou, catering eventy 24-160 os","+421 948 702 041","info@buenogusto.sk","buenogusto.sk","ZA1","firemne stravovanie (vernostne karty + mesacna fakturacia) + catering; vlastna vyrobna kuchyna v Ziline"
"Vyvaren / catering kuchyna","SLOVTREND, s.r.o.","47714514","Dolne Rudiny 8973/4","Zilina","Zilina","obrat 4,17 mil EUR (2025, trzby), 50-99 zam; zavodne stravovanie pre 1300+ stravnikov vo viacerych vydajnych miestach","+421 915 808 008","stravovanie@slovtrend.sk","slovtrend.sk","ZA1","SILNY CIEL; velkokapacitne zavodne stravovanie + rozvoz obedov do firiem + catering, 1300+ stravnikov denne, NACE 5611"
"Vyvaren / catering kuchyna","FOOD TIME s.r.o.","52079881","Bytcicka 16 (prevadzka/kuchyna Zilina)","Zilina","Zilina","obrat 5,82 mil EUR (2024, trzby), 150-199 zam; cca 10000 stravnych jednotiek denne, 30 bufetov/vydajni, NACE 5622","+421 910 598 395","objednavkyza@food-time.sk","food-time.sk","ZA1","SILNY CIEL; velky dodavatel zavodneho stravovania 24/7, vyrobna kuchyna v Ziline; sidlo firmy je Trencianske Teplice (TN kraj), prevadzka pre ZA"
"Vyvaren / catering kuchyna","Peter Mlyncek PEMMEVA obchodno-restauracne sluzby","10857630","Smrecianska 664 (centralna lahodkarska vyrobna)","Liptovsky Mikulas","Liptovsky Mikulas","zivnost (ZRSR), 20-24 zam; centralna lahodkarska vyrobna + zavodne stravovanie + rozvoz obedov do firiem, na trhu od 1992","+421 903 806 205","mlyncekpemmeva@gmail.com","pemmeva.sk","ZA3","SILNY CIEL; centralna vyrobna + zavodne stravovanie + catering + bufet v nemocnici; sidlo Zavazna Poruba; existuje aj samostatna s.r.o. ICO 51871939 (mensi obrat)"
"Vyvaren / catering kuchyna","Jedalen mesta Zilina (prispevkova organizacia mesta)","00321796","Namestie J. Borodaca 1","Zilina","Zilina","cca 806 jedal denne (z toho ~420 rozvoz elektromobilmi do dennych centier a seniorom); 4 stravovacie zariadenia mesta","+421 905 393 526","kc_informator@zilina.sk","zilina.sk","ZA1","SILNY CIEL; mestska velkokapacitna vyvarovna + rozvoz seniorom; ICO 00321796 je ICO Mesta Zilina (zriadovatel)"
"Tackaren / zavodna jedalen","Kia Slovakia s.r.o.","35876832","Sv. Jana Nepomuckeho 1282/1","Teplicka nad Vahom","Zilina","obrat 8156 mil EUR (2024, vynosy), 3000-3999 zam","+421 41 515 0111","info@kia-motors.sk","kia.sk","ZA1","SILNY CIEL; najvacsia automobilka kraja, uzavrety areal, 3 zmeny, tisice obedov denne; operator jedalne neovereny"
"Tackaren / zavodna jedalen","Mobis Slovakia s.r.o.","35876557","MOBIS ulica 1","Gbelany","Zilina","obrat 2012 mil EUR (2024, trzby), 2000-2999 zam","+421 41 515 8158","","mobis.sk","ZA1","SILNY CIEL; najvacsi dodavatel modulov pre Kiu, smenna prevadzka, tisice stravnikov; operator jedalne neovereny"
"Tackaren / zavodna jedalen","Hyundai Transys Slovakia s.r.o.","47746122","Bratislavska cesta 119","Zilina","Zilina","obrat 261,7 mil EUR (2024, trzby), 250-499 zam","","","hyundai-transys.sk","ZA1","byvaly Hyundai Dymos Slovakia, dodavatel prevodoviek/sedaciek pre Kiu; mensi zavod ale smenna prevadzka; operator jedalne neovereny"
"Tackaren / zavodna jedalen","Schaeffler Kysuce, spol. s r.o.","36386553","Dr. G. Schaefflera 1","Kysucke Nove Mesto","Kysucke Nove Mesto","obrat 764,8 mil EUR (2024, trzby), 3000-3999 zam","+421 41 420 5110","schaefflerkysuce@schaeffler.com","schaeffler.sk","ZA4","SILNY CIEL; byvaly INA Kysuce, najvacsi zamestnavatel Kysuc, vyroba lozisk, kontinualna prevadzka, tisice stravnikov; operator jedalne neovereny"
"Tackaren / zavodna jedalen","KINEX BEARINGS, a.s.","35962623","1. maja 71/36","Bytca","Bytca","500-999 zam; vyroba lozisk, 2 zavody (Bytca + Kysucke Nove Mesto)","+421 41 5556 451","","kinex.sk","ZA1","byvaly ZKL Kinex, vyrobca loziskovych segmentov, smenna prevadzka v Bytci; operator jedalne neovereny"
"Tackaren / zavodna jedalen","Mondi SCP, a.s.","31637051","Tatranska cesta 3","Ruzomberok","Ruzomberok","obrat 748,4 mil EUR (2024, trzby), 1000-1999 zam (~1500)","+421 44 436 2222","","mondislovensko.sk","ZA3","SILNY CIEL; najvacsia integrovana papierna a celuloza v SR, nepretrzita prevadzka, velky pocet zamestnancov na jednom mieste; operator jedalne neovereny"
"Tackaren / zavodna jedalen","Panasonic Industrial Devices Slovakia s.r.o.","36372285","Oravicka 616","Trstena","Tvrdosin","1000-1999 zam (zavod Trstena ~1600); vyroba vykonovej elektroniky pre automotive","+421 43 5303200","info.trstena@eu.panasonic.com","pideu.panasonic.sk","ZA5","SILNY CIEL; najvacsi zamestnavatel okresu Tvrdosin, smenna prevadzka, masove stravovanie; operator jedalne neovereny"
"Tackaren / zavodna jedalen","Yanfeng International Automotive Technology Slovakia s.r.o.","47988673","Namestovo 1088","Namestovo","Namestovo","obrat 211,2 mil EUR (2024, trzby), 1000-1999 zam","","","yanfeng.com","ZA5","SILNY CIEL; vyrobny zavod automobilovych interierov v Namestove (odstepny zavod ICO 47257831, sidlo BA), velky zamestnavatel Oravy; operator jedalne neovereny"
"Tackaren / zavodna jedalen","Ustredna vojenska nemocnica SNP Ruzomberok - FN","31936415","gen. Milosa Vesela 21","Ruzomberok","Ruzomberok","obrat 132,7 mil EUR (2025, vynosy); nemocnicna kuchyna pacienti+personal, 1000-1999 zam","+421 44 438 2900","uvn@uvn.sk","uvn.sk","ZA3","SILNY CIEL; najvacsia vojenska fakultna nemocnica v SR, velkokapacitna nemocnicna kuchyna pre pacientov a personal"
"Tackaren / zavodna jedalen","Kysucka nemocnica s poliklinikou Cadca","17335469","Palarikova 2311","Cadca","Cadca","obrat 47,75 mil EUR (2025, vynosy); nemocnicna kuchyna pacienti+personal, 500-999 zam","+421 41 460 4111","","kysuckanemocnica.sk","ZA4","SILNY CIEL; krajska nemocnica pre Kysuce (ZSK), nemocnicna kuchyna pacienti + personal, pravidelne VO potravin"
"Tackaren / zavodna jedalen","Liptovska nemocnica s poliklinikou MUDr. Ivana Stodolu Liptovsky Mikulas","17336163","Palucanska 214/25","Liptovsky Mikulas","Liptovsky Mikulas","obrat 34,54 mil EUR (2024, vynosy); nemocnicna kuchyna pacienti+personal, 500-999 zam","+421 44 5563 111","","nsplm.sk","ZA3","SILNY CIEL; vseobecna nemocnica ZSK pre Liptov, nemocnicna kuchyna pacienti + personal"
"Tackaren / zavodna jedalen","Dolnooravska nemocnica s poliklinikou MUDr. L. N. Jegeho Dolny Kubin","00634905","Nemocnicna 1944/10","Dolny Kubin","Dolny Kubin","obrat 32,0 mil EUR (2024, vynosy); nemocnicna kuchyna pacienti+personal, 500-999 zam","+421 43 5801 111","","donsp.sk","ZA5","SILNY CIEL; vseobecna nemocnica ZSK pre dolnu Oravu, nemocnicna kuchyna pacienti + personal"
"Tackaren / zavodna jedalen","Hornooravska nemocnica s poliklinikou Trstena","00634891","Mieru 549/16","Trstena","Tvrdosin","obrat 31,45 mil EUR (2025, vynosy); nemocnicna kuchyna pacienti+personal, 500-999 zam","+421 43 5392 444","nsp@nsptrstena.sk","nsptrstena.sk","ZA5","SILNY CIEL; vseobecna nemocnica ZSK pre hornu Oravu, nemocnicna kuchyna pacienti + personal"
"Velka restauracia / banketova sala","Tatry mountain resorts, a.s.","31560636","Demanovska Dolina 72","Demanovska Dolina","Liptovsky Mikulas","Grand Hotel Jasna 147 izieb, kongresove saly kombinovane az 300 osob","+421 44 523 1911","info@grandjasna.sk","grandjasna.sk","ZA3","SILNY CIEL; vlajkovy 4* rezort TMR v Jasnej, kongresova/banketova kapacita az 300 osob, MICE a firemne eventy"
"Velka restauracia / banketova sala","Tatry mountain resorts, a.s.","31560636","Raztocska 21","Liptovsky Mikulas","Liptovsky Mikulas","Tatralandia aquapark cca 1,2 mil navstevnikov rocne, 100+ chatiek, kongresova sala 300-320 osob","+421 44 556 1011","info@tatralandia.sk","tatralandia.sk","ZA3","SILNY CIEL; najnavstevovanejsi aquapark SK (~1,2 mil rocne), celorocna prevadzka, banketova kapacita 300-320 osob"
"Velka restauracia / banketova sala","PROPERTY HOLDING, a.s.","36358606","Demanovska Dolina 20","Demanovska Dolina","Liptovsky Mikulas","Wellness Hotel Chopok 67 izieb, sala Praslicka 360 osob + sala Plesnivec 150 osob, obrat cca 6,4 mil EUR (2024), 50-99 zam","+421 44 559 1490","rezervacie@hotelchopok.sk","hotelchopok.sk","ZA3","SILNY CIEL; kongresovy hotel 4* v Demanovskej, banketova sala Praslicka 360 osob + Plesnivec 150 osob"
"Velka restauracia / banketova sala","Tatry mountain resorts, a.s.","31560636","Besenova 136","Besenova","Ruzomberok","Hotel Galeria Thermal 85 izieb, kongresova sala 270 osob, kombinovana kapacita sal az 410 miest","+421 44 4307 700","info@galeriathermal.sk","galeriathermal.sk","ZA3","SILNY CIEL; 4* hotel s termalnym wellnessom pri aquaparku Gino Paradise Besenova (TMR), banketova kapacita 270-410 osob"
"Velka restauracia / banketova sala","TATRY HOTELS s.r.o.","43822312","Demanovska Dolina 5","Demanovska Dolina","Liptovsky Mikulas","Hotel Tri Studnicky 42 izieb, restauracia 100 miest, konferencna sala max 80 osob, obrat cca 2,1 mil EUR (2025), 25-49 zam","+421 44 547 8000","info@tristudnicky.sk","tristudnicky.sk","ZA3","Butikovy 4* hotel (dcera TMR), restauracia 100 miest; banketova/konferencna sala do 80 osob"
"Velka restauracia / banketova sala","Slovenske liecebne kupele Rajecke Teplice, a.s.","31642284","Osloboditelov 84/4","Rajecke Teplice","Zilina","obrat 22,4 mil EUR (2024, trzby), 100-249 zam; restauracia Aphrodite Palace cca 205 miest, kongresove priestory ~100 osob","+421 41 5494 256","spa@spa.sk","spa.sk","ZA1","SILNY CIEL; kupelny rezort Aphrodite s aquaparkom, velkokapacitna restauracia ~205 miest, banketove/kongresove priestory ~100 osob"
